 Neighborhood , Total Population , Median Age , 0-9 years , 10-17 years , 18-19 years , 20-34 years , 35-59 years , 60 and over 
Allston,"19,261",27.5,409,331,"2,359","13,046","2,307",809
Back Bay ,"17,783",33.6,655,514,980,"7,418","4,893","3,323"
Beacon Hill ,"9,648",33,615,247,40,"4,524","2,540","1,682"
Brighton,"55,297",30.8,"3,170","2,105","1,450","29,181","11,485","7,906"
Charlestown,"19,890",35.7,"2,978",996,186,"5,603","6,824","3,303"
Dorchester,"126,909",33.4,"15,104","13,018","3,478","35,771","38,890","20,648"
Downtown,"18,306",33.5,"1,122",385,"2,307","5,942","4,923","3,627"
East Boston,"47,263",30.6,"5,319","3,857","1,086","14,689","16,270","6,042"
Fenway,"33,489",26.3,509,190,"8,496","18,072","3,981","2,241"
Hyde Park,"38,924",39.4,"4,140","4,148",606,"8,221","13,392","8,417"
Jamaica Plain,"40,867",34.8,"4,232","2,389",674,"13,286","13,387","6,899"
Longwood,"5,351",20.2,8,43,"2,597","2,575",65,63
Mattapan,"26,659",36.7,"3,496","3,072",575,"5,582","9,031","4,903"
Mission Hill ,"17,386",30.1,660,825,"1,424","8,599","3,163","2,715"
North End ,"8,749",31.1,310,199,19,"5,208","1,818","1,195"
Roslindale,"30,021",39.8,"3,412","2,567",555,"6,310","11,224","5,953"
Roxbury,"54,161",32.5,"6,557","5,289","2,669","15,059","15,564","9,023"
South Boston,"36,772",31.9,"3,165","1,496",305,"16,937","10,206","4,663"
South Boston Waterfront,"4,403",34.5,138,51,43,"2,038","1,546",587
South End ,"32,571",37.1,"2,421","1,544",360,"11,029","10,922","6,295"
West End ,"6,619",37.8,297,125,141,"2,504","2,168","1,384"
West Roxbury,"33,526",42.8,"4,066","2,829",319,"6,062","11,182","9,068"
