Neighborhood,Total population 25 years and over,Less than High School ,High School Graduate,GED or Alternative Credential,Some College ,Associate's Degree,Bachelor's Degree, Master's Degree or more
Allston,"10,432",571,701,72,886,358,"4,338","3,506"
Back Bay,"13,791",284,565,31,690,440,"5,396","6,385"
Beacon Hill,"8,203",169,148,20,270,129,"3,815","3,652"
Brighton,"39,650","2,660","3,968",709,"4,149","1,328","15,575","11,261"
Charlestown,"15,069","1,192","1,833",229,"1,243",413,"4,987","5,172"
Dorchester,"86,012","15,449","22,117","3,580","14,716","4,941","16,095","9,114"
Downtown,"12,722","1,963","1,123",222,877,522,"3,327","4,688"
East Boston,"33,947","9,228","8,883",842,"3,900","1,282","6,413","3,399"
Fenway,"13,202",840,"1,017",291,"1,112",383,"4,491","5,068"
Hyde Park,"27,240","3,759","6,354","1,196","5,794","2,416","5,017","2,704"
Jamaica Plain,"31,245","2,490","3,203",570,"3,789",886,"9,304","11,003"
Longwood,531,17,20,15,36,0,208,235
Mattapan,"18,095","2,632","5,323",897,"4,147","1,392","2,109","1,595"
Mission Hill,"9,593","1,662","1,332",159,"1,449",370,"2,320","2,301"
North End,"7,136",185,512,11,503,143,"3,626","2,156"
Roslindale,"21,961","2,027","3,923",733,"3,535","1,211","5,209","5,323"
Roxbury,"33,588","7,733","8,227","1,675","6,363","1,910","5,048","2,632"
South Boston,"29,731","2,350","3,681",558,"2,499","1,102","12,856","6,685"
South Boston Waterfront,"3,897",80,218,32,173,180,"1,799","1,415"
South End,"26,302","3,094","2,387",540,"2,234",795,"7,741","9,511"
West End,"5,683",333,400,66,396,119,"1,733","2,636"
West Roxbury,"25,276","1,650","4,187",700,"3,344","1,669","6,592","7,134"
